route,routeDisplayName,routeTheme,lockStage,endingStage,stage,title,typeName,subject,difficultyBonus,rewardMultiplier,requirementTags,enemyMecha,routeLocking,visible,hiddenCost,rewardGold,rewardEnhancementPoints,rewardReputation,rewardStealth,rewardMatrixDamage,rewardAlienSupport,endingTitle,endingSubtitle,endingText,routeEffectDescription
rust,锈蚀部队,矩阵熄灭线,3,5,1,冷却的火种,破坏,无标识中继塔,1,1.3,情报 / 生存,,,匿名委托要求瘫痪一座中继塔，目标被标注为军用冗余设施。,它确实服务军队，也负责附近三所医院的备用通信。,100,1,,,2,,矩阵熄灭,铁锈黎明,矩阵停止供能，机动兵器沉入黑暗，战争工厂冷却，SSS 和 FOF 同时失去远程调度能力。城市没有被解放，只是安静下来。人们第一次不用仰头看同步塔，也第一次发现医院、净水厂和粮食仓库同样接在那张网里。,锈蚀路线削弱异源技术和机动兵器，但会提高矩阵破坏度，让世界基础设施逐步衰退。
rust,锈蚀部队,矩阵熄灭线,3,5,2,断网,突袭,矩阵转发站,2,1.45,战斗 / 情报,,,袭击矩阵转发站，切断 SSS 与 FOF 共用的战场调度链。,前线会混乱，撤离通道也会混乱。,150,1,,,4,,矩阵熄灭,铁锈黎明,矩阵停止供能，机动兵器沉入黑暗，战争工厂冷却，SSS 和 FOF 同时失去远程调度能力。城市没有被解放，只是安静下来。人们第一次不用仰头看同步塔，也第一次发现医院、净水厂和粮食仓库同样接在那张网里。,锈蚀路线削弱异源技术和机动兵器，但会提高矩阵破坏度，让世界基础设施逐步衰退。
rust,锈蚀部队,矩阵熄灭线,3,5,3,熄炉,破坏,战争工厂热炉,3,1.65,战斗 / 后勤,TRUE,TRUE,摧毁战争工厂热炉，让机动兵器产线停摆。,同一产线也在生产净水泵、义肢和廉价发电组件。,210,2,,,6,,矩阵熄灭,铁锈黎明,矩阵停止供能，机动兵器沉入黑暗，战争工厂冷却，SSS 和 FOF 同时失去远程调度能力。城市没有被解放，只是安静下来。人们第一次不用仰头看同步塔，也第一次发现医院、净水厂和粮食仓库同样接在那张网里。,锈蚀路线削弱异源技术和机动兵器，但会提高矩阵破坏度，让世界基础设施逐步衰退。
rust,锈蚀部队,矩阵熄灭线,3,5,4,断链爆索,回收,反同步核心,4,1.85,生存 / 机师,TRUE,,回收反同步核心，准备对主矩阵实施永久性损伤。,核心能让机甲停下，也会让维生舱停下。,280,2,,,8,,矩阵熄灭,铁锈黎明,矩阵停止供能，机动兵器沉入黑暗，战争工厂冷却，SSS 和 FOF 同时失去远程调度能力。城市没有被解放，只是安静下来。人们第一次不用仰头看同步塔，也第一次发现医院、净水厂和粮食仓库同样接在那张网里。,锈蚀路线削弱异源技术和机动兵器，但会提高矩阵破坏度，让世界基础设施逐步衰退。
rust,锈蚀部队,矩阵熄灭线,3,5,5,停电日,特殊,主矩阵断路点,5,2.25,战斗 / 生存 / 机师,TRUE,,协助锈蚀部队破坏主矩阵，让异源战争体系熄灭。,灯会一起灭，连那些没有参与战争的人也会被算进代价。,420,3,,,12,,矩阵熄灭,铁锈黎明,矩阵停止供能，机动兵器沉入黑暗，战争工厂冷却，SSS 和 FOF 同时失去远程调度能力。城市没有被解放，只是安静下来。人们第一次不用仰头看同步塔，也第一次发现医院、净水厂和粮食仓库同样接在那张网里。,锈蚀路线削弱异源技术和机动兵器，但会提高矩阵破坏度，让世界基础设施逐步衰退。
heaven,天人残余,异源代理线,1,5,1,白光背誓,特殊,无声信标,2,1.6,情报 / 生存,,TRUE,接触天人残余的无声信标，获得人类技术无法解释的支援。,从这一刻起，人类社会会把你的组织视为异源代理。,180,2,,-8,,1,白光协议,异源代理,人类势力的频道逐一静默，只剩 GMS 仍能接入你的组织。天人的支援让濒死城区重新亮起，让无法治愈的伤口闭合，让战争机器像被温柔地拆开。没人知道那座城区是否仍属于人类，也没人知道你的佣兵是否仍在为人类工作。结算页面显示：任务完成。物种分类栏显示：待确认。,天人路线一旦公开接取就永久锁定。它提供异常强大的支援，但会切断几乎所有人类势力契约。
heaven,天人残余,异源代理线,1,5,2,非人治疗,营救,濒死城区,3,1.8,生存 / 后勤,,,使用天人技术救援濒死城区，绕过人类医疗和能源系统。,城区会活下来，但没人能解释它正在变成什么。,220,2,,-5,,1,白光协议,异源代理,人类势力的频道逐一静默，只剩 GMS 仍能接入你的组织。天人的支援让濒死城区重新亮起，让无法治愈的伤口闭合，让战争机器像被温柔地拆开。没人知道那座城区是否仍属于人类，也没人知道你的佣兵是否仍在为人类工作。结算页面显示：任务完成。物种分类栏显示：待确认。,天人路线一旦公开接取就永久锁定。它提供异常强大的支援，但会切断几乎所有人类势力契约。
heaven,天人残余,异源代理线,1,5,3,异源改写,回收,旧神经接口,4,2,情报 / 机师,TRUE,,回收旧神经接口，让天人残余改写人类机动兵器的同步逻辑。,驾驶员会变强，也会开始梦见不属于自己的战争。,300,3,,-6,,2,白光协议,异源代理,人类势力的频道逐一静默，只剩 GMS 仍能接入你的组织。天人的支援让濒死城区重新亮起，让无法治愈的伤口闭合，让战争机器像被温柔地拆开。没人知道那座城区是否仍属于人类，也没人知道你的佣兵是否仍在为人类工作。结算页面显示：任务完成。物种分类栏显示：待确认。,天人路线一旦公开接取就永久锁定。它提供异常强大的支援，但会切断几乎所有人类势力契约。
heaven,天人残余,异源代理线,1,5,4,白区扩散,防御,梦白隔离带,5,2.2,战斗 / 生存 / 机师,TRUE,,防守被天人技术改写的白区，让其继续扩散。,白区没有屠杀任何人，只是让幸存者不再使用过去式。,380,3,,-8,,2,白光协议,异源代理,人类势力的频道逐一静默，只剩 GMS 仍能接入你的组织。天人的支援让濒死城区重新亮起，让无法治愈的伤口闭合，让战争机器像被温柔地拆开。没人知道那座城区是否仍属于人类，也没人知道你的佣兵是否仍在为人类工作。结算页面显示：任务完成。物种分类栏显示：待确认。,天人路线一旦公开接取就永久锁定。它提供异常强大的支援，但会切断几乎所有人类势力契约。
heaven,天人残余,异源代理线,1,5,5,白光协议,特殊,天人残余主节点,6,2.6,情报 / 战斗 / 机师,TRUE,,协助天人残余接入主节点，结束人类对异源技术的低效仿制。,战争可能停止，人类对自身未来的独占权也会停止。,520,4,,-10,,3,白光协议,异源代理,人类势力的频道逐一静默，只剩 GMS 仍能接入你的组织。天人的支援让濒死城区重新亮起，让无法治愈的伤口闭合，让战争机器像被温柔地拆开。没人知道那座城区是否仍属于人类，也没人知道你的佣兵是否仍在为人类工作。结算页面显示：任务完成。物种分类栏显示：待确认。,天人路线一旦公开接取就永久锁定。它提供异常强大的支援，但会切断几乎所有人类势力契约。
